,username,repo_name,stars,repo_url
0,mrdoob,three.js,https://github.com/mrdoob/three.js,90300
1,pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,90300
2,libgdx,libgdx,https://github.com/libgdx/libgdx,90300
3,BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,90300
4,ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,90300
5,aframevr,aframe,https://github.com/aframevr/aframe,90300
6,lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,90300
7,FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,90300
8,CesiumGS,cesium,https://github.com/CesiumGS/cesium,90300
9,metafizzy,zdog,https://github.com/metafizzy/zdog,90300
10,timzhang642,3D-Machine-Learning,https://github.com/timzhang642/3D-Machine-Learning,90300
11,isl-org,Open3D,https://github.com/isl-org/Open3D,90300
12,blender,blender,https://github.com/blender/blender,90300
13,a1studmuffin,SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,90300
14,domlysz,BlenderGIS,https://github.com/domlysz/BlenderGIS,90300
15,FyroxEngine,Fyrox,https://github.com/FyroxEngine/Fyrox,90300
16,openscad,openscad,https://github.com/openscad/openscad,90300
17,google,model-viewer,https://github.com/google/model-viewer,90300
18,spritejs,spritejs,https://github.com/spritejs/spritejs,90300
19,jagenjo,webglstudio.js,https://github.com/jagenjo/webglstudio.js,90300
